run,N,M,S,finZ,totIt,timefin,bestat,deadfrac,it99,s2tot,s4tot,s4per1k,stag,pmpeak,pmfin,ccpeak,ccfin,ccdeath,coll,coll_it,tmfin,stag_events
R6,150,9,30,8262.0615,8192,239.9,7317,0.1068115234375,4690,2149414,287,35.0341796875,141,9883,801,7196,0,580,7110,110,24,141
R6,200,3,10,3848.0789,14648,239.9,13724,0.0630802839978154,10660,1877497,262,17.88640087383943,281,13986,312,12953,0,440,7601,110,18,281
R6,200,3,20,3857.377,15591,240.0,13714,0.12038996857161183,4350,1853285,259,16.61214803412225,298,14122,268,13058,0,420,7627,110,14,298
R6,200,3,30,3987.7544,14967,239.9,14806,0.010756998730540522,3900,1858327,247,16.50297320772366,290,14328,279,13195,0,440,7596,110,19,290
R6,200,6,10,6527.8018,8367,239.8,7537,0.09919923509023545,4410,1789098,295,35.25755945978248,149,14913,619,12813,0,370,10902,110,12,149
R6,200,6,20,6571.2349,8336,239.8,5787,0.3057821497120921,4220,1732943,301,36.1084452975048,148,14739,640,12652,0,520,10772,110,16,148
R6,200,6,30,6869.5957,8256,239.8,7005,0.15152616279069767,4550,1894737,282,34.156976744186046,150,14650,608,12632,0,650,10832,110,17,150
R6,200,9,10,8805.3584,5749,239.6,5631,0.02052530874934771,2870,1711473,321,55.83579753000522,100,14558,924,11531,0,510,11117,110,17,100
R6,200,9,20,8868.4424,5857,239.7,4978,0.15007683114222298,3760,1679519,355,60.61123442035172,98,14466,953,11417,0,510,11149,110,18,98
R6,200,9,30,9302.6611,5706,239.7,5478,0.03995793901156677,4090,1631550,322,56.43182614791448,96,14800,928,11714,0,570,11280,110,18,96
R6,30,3,10,2118.408,46393,120.0,1151,0.9751902226629018,290,2971111,67,1.4441833897355205,460,779,103,372,0,200,425,110,5,460
R6,30,3,20,2250.5408,43464,120.0,6337,0.8542011779863795,1860,2621150,60,1.3804527885146327,428,789,95,333,0,210,384,110,8,428
R6,30,3,30,2540.0464,44207,120.0,30255,0.3156061257266949,630,3078080,57,1.2893885583731084,436,768,112,316,0,140,370,110,6,436
R6,30,6,10,3336.22,41239,120.0,1260,0.9694463978272994,650,2998041,74,1.794417905380829,405,769,165,253,0,260,276,110,10,405
R6,30,6,20,3384.7371,39619,120.0,5286,0.8665791665614982,2300,2849097,62,1.5649057270501525,389,769,174,189,0,230,265,110,16,389
R6,30,6,30,3857.8403,38288,120.0,1426,0.9627559548683661,920,3421759,62,1.6193063100710405,376,769,166,175,0,180,225,110,5,376
R6,30,9,10,4199.5249,47272,120.0,2803,0.9407048569977999,740,4685307,52,1.100016923337282,466,743,174,128,0,330,194,110,9,466
R6,30,9,20,4059.0916,43530,120.0,6610,0.8481507006662072,220,4291641,56,1.2864691017688952,427,767,187,116,0,130,191,110,6,427
R6,30,9,30,4643.4297,39807,120.0,674,0.9830683045695481,170,4494335,71,1.7836058984600698,395,761,196,99,0,140,198,110,4,395
R6,50,3,10,3175.6909,27441,120.0,11659,0.5751248132356692,5250,2484347,109,3.972158449036114,263,1951,142,1046,0,270,1093,110,20,263
R6,50,3,20,2953.7456,30770,120.0,3423,0.8887552811179721,3200,2619418,124,4.029899252518687,300,1895,122,1021,0,230,1072,110,5,300
